CASNumber	CASStandard	ChemicalNumber	Category	SortCAS	SortName	FullChemicalName	Chemical	Added	ToxicitySource	RfCInhale	RfCUF	RfCMF	RfCConf	RfCSource	RfCListingDate	RFDOral	RfDUF	RfDMF	RfDConf	RfDListingDate	RfDSource	UnitRiskInhale	QSTAROral	WOE	UnitRiskListingDate	UnitRiskSource	QStarListingDate	QStarSource	WOEListingDate	WOESource	ITW	OTW	ToxicityClassOral	ToxicityClassInhale	ToxicityCategory	AirDecay	Koc	H2ODecay	LOGKow	Kd	WaterSolubility	POTWPartitionRemoval	POTWPartitionSludge	POTWPartitionVolat	POTWPartitionBiod	IncineratorDRE	BCF	Henrys	MCL	MolecularWeight	T33_50Flag	HAPFlag	CAAFlag	PriorityPollutantFlag	SDWAFlag	CERCLAFlag	OSHACarcinogens	ExpansionFlag	CoreChemicalFlag	MiniCoreChemicalFlag	Core98ChemicalFlag	HPVFlag	HPVChallenge	PBTFlag	Metal	UserTag1	UserTag2	UserTag3	UserTag4	UserTag5	HasTox	MaxTW
"71751412"	"71751-41-2"	1	"<Not Assigned>"	71751412	"Abamectin"	"Abamectin"	"Abamectin"	1995	"IRIS 4/1997"							4.0E-4	300	1	"H"	"7/1/1989"	"IRIS"										1300	1300	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"		1800		4.98		5	98.23	44.67	0.0	55.33	99.0	3600	0.000000000226		870.29	0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						1	1300
"30560191"	"30560-19-1"	2	"<Not Assigned>"	30560191	"Acephate (Acetylphosphoramidothioic acid O,S-dimethyl ester)"	"Acetylphosphoramidothioic acid O,S-dimethyl ester"	"Acephate"	1995	"IRIS 4/1997"							0.0040	30	1	"H"	"2/1/1990"	"IRIS"		0.0087	"C"			"10/1/1993"	"IRIS"	"10/1/1993"	"IRIS"	130	130	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.0302	2.4		-0.85		818000	45.42	2.38	0.0	97.62	99.0	3.2	0.000000000000501		183.17	0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						1	130
"75070"	"75-07-0"	3	"<Not Assigned>"	75070	"Acetaldehyde"	"Acetaldehyde"	"Acetaldehyde"	1987	"IRIS 4/1997"	0.0090	1000	1	"L"	"IRIS"	"10/1/1991"							0.0022		"B2"	"1/1/1991"	"IRIS"			"1/1/1991"	"IRIS"	200	200	"Non-carcinogen*"	"Non-carcinogen"	"Non-carcinogen"	0.0427	2		-0.34		1000000	92.13	0.36	0.61	99.03	99.0	3.2	0.0000667		44.05	0	1	1	0	0	1	1	0	1	1	1	1	"0"	0	"CNM"						1	200
"60355"	"60-35-5"	4	"<Not Assigned>"	60355	"Acetamide"	"Acetamide"	"Acetamide"	1987	"CalEPA 7/2001, OPP 11/2003"													0.02		"C"	"4/1999"	"CalEPA"			"5/29/1990"	"OPP"	14	14	"Carcinogen*"	"Carcinogen"	"Carcinogen"	0.00568	4.9	2.0E-8	-1.26		2250000	92.06	0.36	0.0	99.63	99.0	3.2	0.0000000112		59.07	0	1	0	0	0	1	1	0	1	1	1	0		0	"CNM"						1	14
"75058"	"75-05-8"	5	"<Not Assigned>"	75058	"Acetonitrile"	"Acetonitrile"	"Acetonitrile"	1987	"IRIS 6/2000"	0.06	100	10	"M"	"IRIS"	"3/3/1999"									"D"					"3/3/1999"	"IRIS"	30	30	"Non-carcinogen*"	"Non-carcinogen"	"Non-carcinogen"	7.1E-5	2	5.8E-10	-0.34		1000000	75.27	0.82	0.82	98.35	99.0	3.2	0.000034500000000000005		41.05	0	1	0	0	0	1	0	0	1	1	1	1	"2"	0	"CNM"						1	30
"98862"	"98-86-2"	6	"<Not Assigned>"	98862	"Acetophenone"	"Acetophenone"	"Acetophenone"	1994	"IRIS 4/1997"							0.1	3000	1	"L"	"1/1/1989"	"IRIS"			"D"					"2/1/1991"	"IRIS"	5	5	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.0074	57		1.58		6130	92.2	0.44	0.11	99.44	99.0	9.3	0.0000104		120.15	0	1	0	0	0	1	0	0	0	1	1	1	"2,4"	0	"NM"						1	5
"53963"	"53-96-3"	7	"<Not Assigned>"	53963	"Acetylaminofluorene"	"2-Acetylaminofluorene"	"2-Acetylaminofluorene"	1987																												0.0729	1700	2.3E-6	3.12		5.534	57.53	8.26	0.0	91.76	99.0	140	0.000000000192		223.28	0	1	0	0	0	1	1	0	1	1	1	0		0	"CNM"						0	
"62476599"	"62476-59-9"	8	"<Not Assigned>"	62476599	"Acifluorfen, sodium salt [5-(2-Chloro-4-(triflouromethyl) ph"	"5-(2-Chloro-4-(triflouromethyl) phenoxy)-2-nitro-benzoic acid, sodium salt"	"Acifluorfen, sodium salt"	1995	"OPP 8/2000, OPP 11/2003"							0.013	100			"4/1999"	"OPP"		0.0127	"B2"			"2001"	"OPP"	"3/17/1988"	"OPP"	38	38	"Non-carcinogen"	"Non-carcinogen*"	"Non-carcinogen"	0.00148	38		0.37		250000	74.69	16.43	0.013	83.56	99.0	3.2	0.000000297		384.65	0	0	0	0	0	0	0	1	0	1	1	0		0	"NM"						1	38
"107028"	"107-02-8"	9	"<Not Assigned>"	107028	"Acrolein"	"Acrolein"	"Acrolein"	1987	"IRIS 11/2003"	2.0E-5	1000	1	"M"	"IRIS"	"6/3/2003"	5.0E-4	100	1	"M-H"	"6/3/3003"	"IRIS"								"6/3/2003"	"IRIS"	90000	1000	"Non-carcinogen"	"Non-carcinogen"	"Non-carcinogen"	0.0537	5	0.019	-0.01		212000	92.18	0.36	1.01	98.62	99.0	350	0.000122		56.06	0	1	1	1	0	1	0	0	1	1	1	1	"2"	0	"CNM"						1	90000
"79061"	"79-06-1"	10	"<Not Assigned>"	79061	"Acrylamide"	"Acrylamide"	"Acrylamide"	1987	"IRIS 4/1997"							2.0E-4	1000	1	"M"	"3/1/1991"	"IRIS"	1.3	4.5	"B2"	"7/1/1993"	"IRIS"	"7/1/1993"	"IRIS"	"7/1/1993"	"IRIS"	9300	9000	"Carcinogen"	"Carcinogen"	"Carcinogen"	0.0303	50	2.1E-6	-0.67		640000	92.06	0.36	0.0	99.64	99.0	1	0.000000001		71.08	0	1	0	0	1	1	1	0	1	1	1	1	"2"	0	"CNM"						1	9300
